"LawaSiteID","CouncilSiteID","Year","Total_Nitrogen","Tot_Nitr_Band","NitrateAnalysisNote","Total_Phosphorus","Tot_Phos_Band","PhosphorusAnalysisNote","AmmoniacalMed","Med_Ammoniacal_Band","Max_Ammoniacal","Max_Ammoniacal_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","Median_Clarity","Med_Clarity_Band","ClarityAnalysisNote","Median_ChlA","Med_ChlA_Band","Max_ChlA","Max_ChlA_Band","ChlASummaryBand","ChlAAnalysisNote","E_coli_Period","E_coli_Median","E_coli_band","E_coli95","E_coli95_band","E_coliRecHealth540","E_coliRecHealth540_Band","E_coliRecHealth260","E_coliRecHealth260_Band","E_coliSummaryband","E_coliAnalysisNote","Agency","Region","SiteID"
"ebop-00087","FK427028_INT","Overall",186,"B","",10,"A","",0.003,"A",0.0112,"A","A","",6.9499999045,"B","",3,"B",10.275,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake okareka site 1"
"ebop-00088","FI680541_INT","Overall",610,"C","",34,"C","",0.012,"A",0.53325,"C","C","",3.1,"B","",8.9,"C",68.29,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake okaro site 1"
"ebop-00089","GK015589_INT","Overall",88,"A","",13,"B","",0.002,"A",0.006,"A","A","",10.5,"A","",2,"A",5.14999999999999,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake okataina site 1"
"ebop-00090","GI617624_INT","Overall",352,"B","",10,"A","",0.005,"A",0.032,"A","A","",5.7,"B","",3.9,"B",11.37,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rerewhakaaitu site 1"
"ebop-00091","HL030557_INT","Overall",421,"B","",41,"C","",0.008,"A",0.119675,"B","B","",2.3,"C","",13.3,"D",42.73,"C","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotoehu site 3"
"ebop-00092","GL051366_INT","Overall",167.5,"B","",20,"B","",0.003,"A",0.0328,"A","A","",6.7,"B","",4.75,"B",12.36,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotoiti site 4"
"ebop-00093","FL274353_INT","Overall",299,"B","",33,"C","",0.003,"A",0.0184,"A","A","",2.85,"C","",7.7,"C",30.87,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotoiti okawa bay"
"ebop-00094","FL479468_INT","Overall",187.5,"B","",22,"C","",0.003,"A",0.0248,"A","A","",5.225,"B","",6.4,"C",13.295,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotoiti site 3"
"ebop-00095","HL508168_INT","Overall",106,"A","",7.5,"A","",0.0035,"A",0.008,"A","A","",13,"A","",1,"A",2.225,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotoma site 1"
"ebop-00096","GI084907_INT","Overall",194,"B","",53,"D","",0.002,"A",0.005,"A","A","",4.925,"B","",4.3,"B",12.25,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotomahana site 2"
"ebop-00097","EL805168_INT","Overall",313,"B","",18,"B","",0.008,"A",0.04455,"A","A","",3.05,"B","",10.1,"C",21.915,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotorua site 5"
"ebop-00098","EK783777_INT","Overall",317,"B","",17,"B","",0.012,"A",0.051975,"B","B","",2.925,"C","",10.3,"C",22.56,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake rotorua site 2"
"ebop-00099","FJ988648_INT","Overall",91,"A","",22,"C","",0.002,"A",0.00559999999999999,"A","A","",8.4,"A","",1.4,"A",3.66,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake tarawera site 5"
"ebop-00100","FJ164707_INT","Overall",170.5,"B","",4,"A","",0.002,"A",0.006,"A","A","",7.55,"A","",1.9,"A",5.985,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","boprc","bay of plenty","lake tikitapu site 1"
"ecan-00325","SQ20601","Overall",2000,"D","",255,"D","",0.005,"A",0.0557,"B","B","",NA,NA,"",25.5,"D",117.499999999999,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 48","ecan","canterbury","wainono lagoon off lake road"
"ecan-00331","SQ10805","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 16","ecan","canterbury","kellands pond second point"
"ecan-00334","SQ30954","Overall",2250,"D","",210,"D","",0.0155,"A",0.0383999999999999,"A","A","",0.095,"D","",69.5,"D",144,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","ecan","canterbury","lake ellesmere mid-lake"
"ecan-00347","SQ33147","Overall",805,"D","",79,"D","",0.15,"B",0.1518,"B","B","",NA,NA,"",24.5,"D",181,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 48","ecan","canterbury","lake forsyth at recorder"
"ecan-00348","SQ34548","Overall",1630,"D","",8,"A","",0.028,"A",0.0871,"B","B","",NA,NA,"",1.75,"A",6.29999999999998,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 47","ecan","canterbury","coopers lagoon/muriwai above beach culvert"
"ecan-00363","SQ35175","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 16","ecan","canterbury","lake rotorua by east arm"
"ecan-00369","SQ30953","Overall",2200,"D","",185.5,"D","",0.019,"A",0.0495999999999999,"A","A","",0.1,"D","",70,"D",135.6,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","ecan","canterbury","lake ellesmere off timber yard point"
"ecan-00370","SQ30955","Overall",2300,"D","",184.5,"D","",0.015,"A",0.0332,"A","A","",0.1,"D","",69.5,"D",151,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","ecan","canterbury","lake ellesmere off selwyn river mouth"
"ecan-00371","SQ30956","Overall",2200,"D","",192,"D","",0.018,"A",0.0352,"A","A","",0.1,"D","",65.75,"D",128.4,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","ecan","canterbury","lake ellesmere off taumutu"
"ecan-00372","SQ33593","Overall",1420,"D","",140.5,"D","",0.05,"B",0.0681999999999999,"B","B","",0.19,"D","",22,"D",51.4,"C","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","ecan","canterbury","lake ellesmere at kaituna lagoon"
"es-000142","Waituna Lagoon at Lagoon Centre","Overall",800,"D","",29,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",1.2,"C","",1.75,"A",19,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 54","es","southland","waituna lagoon at lagoon centre"
"es-000157","Waituna Lagoon at Lagoon East","Overall",740,"C","",26,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",1.45,"C","",1.4,"A",19,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 55","es","southland","waituna lagoon at lagoon east"
"es-000158","Waituna Lagoon at Lagoon South","Overall",770,"D","",28,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",1.2,"C","",1.5,"A",23.25,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 55","es","southland","waituna lagoon at lagoon south"
"es-000159","Waituna Lagoon at Lagoon West","Overall",820,"D","",36.5,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",1.05,"C","",1.95,"A",24.6,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 56","es","southland","waituna lagoon at lagoon west"
"es-00144","Lake George NE","Overall",520,"C","",22.5,"C","",0.005,"A",0.0222,"A","A","",NA,NA," Need 30 values for overall median, have 22",3.2,"B",48.8,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 34","es","southland","lake george ne"
"ew-00142","37048","Overall",2202,"D","",132,"D","",0.01,"A",0.1934,"B","B","",0.33,"D","",92,"D",273,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 26","wrc","waikato","lake hakanoa at centre (surface)"
"ew-00144","37050","Overall",338,"B","",12,"B","",0.01,"A",0.02555,"A","A","",3.18,"B","",3,"B",9,"A","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake harihari at harihari a (surface)"
"ew-00146","37415","Overall",1135,"D","",50.5,"D","",0.0105,"A",0.216,"B","B","",0.39,"D","",27,"D",96.2,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 26","wrc","waikato","lake waahi at centre (surface)"
"ew-00147","37499","Overall",1894,"D","",111.5,"D","",0.01,"A",0.0968000000000001,"B","B","",0.19,"D","",63,"D",362,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 26","wrc","waikato","lake whangape at centre - buoy (surface)"
"ew-00151","37477","Overall",2906.5,"D","",136.5,"D","",0.01,"A",0.298400000000001,"B","B","",0.16,"D","",118.5,"D",462,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 26","wrc","waikato","lake waikare at epilimnion"
"gw-00257","Lake Onoke 1","Overall",510,"C","",31,"C","",0.01,"A",0.054175,"B","B","",0.52,"D","",15,"D",15.5,"B","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","gwrc","wellington","lake onoke site 1"
"gw-00258","Lake Wairarapa Site 2","Overall",485,"B","",56,"D","",0.005,"A",0.0167,"A","A","",0.25,"D","",9.5,"C",18,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","gwrc","wellington","lake wairarapa site 2"
"gw-00262","Lake Wairarapa Alsops Bay","Overall",490,"C","",38,"C","",0.005,"A",0.0619,"B","B","",0.3,"D","",8.5,"C",28.3,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","gwrc","wellington","lake wairarapa alsops bay"
"gw-00263","Lake Wairarapa Middle","Overall",480,"B","",56,"D","",0.005,"A",0.0752999999999998,"B","B","",0.23,"D","",9,"C",18.25,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","gwrc","wellington","lake wairarapa middle"
"hbrc-00173","Lake Waikaremoana Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 6",NA,NA," Need 30 nitrate values for overall median, have 6",NA,NA,NA,NA,NA,"n = 0 No NH4 data ",NA,NA," Need 30 values for overall median, have 6",NA,NA,NA,NA,NA," Need 30 values for overall median, have 6 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","hbrc","hawkes bay","5624"
"hbrc-00176","Lake Tutira Top","Overall",480,"C","",24,"C","",NA,NA,NA,NA,NA,"n = 0 No NH4 data ",3,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 17 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 46","hbrc","hawkes bay","5627"
"hrc-00331","Lake Dudding (Composite)","Overall",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall 95%ile, have 18",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 18","hrc","horizons","lake dudding (composite)"
"hrc-00333","Lake Horowhenua Composite","Overall",2815,"D","",112.5,"D","",0.025,"A",0.787999999999999,"C","C","",NA,NA,"",25,"D",156.4,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 41","hrc","horizons","lake horowhenua composite"
"hrc-00335","Lake Pauri Composite","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 14","hrc","horizons","lake pauri composite"
"hrc-00337","Lake Wiritoa Composite","Overall",NA,NA," Need 30 nitrate values for overall median, have 12",NA,NA," Need 30 nitrate values for overall median, have 12",NA,NA,NA,NA,NA," Need 30 values for overall median, have 12 Need 30 values for overall 95%ile, have 12",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 12 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 12","hrc","horizons","lake wiritoa composite"
"lawa-100207","The Reservoir West","Overall",570,"C","",29,"C","",0.005,"A",0.0149,"A","A","",1.35,"C","",9.45,"C",18.4,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 38","es","southland","the reservoir west"
"lawa-100208","The Reservoir Centre","Overall",595,"C","",29,"C","",0.005,"A",0.01945,"A","A","",1.39,"C","",9,"C",21,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 38","es","southland","the reservoir centre"
"lawa-100209","Lake Vincent North","Overall",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,NA," Need 30 values for overall median, have 22",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 24","es","southland","lake vincent north"
"lawa-100210","Lake Vincent Centre","Overall",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 24","es","southland","lake vincent centre"
"lawa-100215","Lake George SW","Overall",550,"C","",27.5,"C","",0.005,"A",0.015,"A","A","",NA,NA," Need 30 values for overall median, have 20",4.75,"B",83,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 30","es","southland","lake george sw"
"lawa-102689","Lake Waihola at Waihola Mid","Overall",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall 95%ile, have 18",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 18","orc","otago","lake waihola at waihola mid"
"orc-00027","Lake Dunstan at Dead Mans Point","Overall",70,"A","",7,"A","",0.005,"A",0.0249,"A","A","",NA,NA,"",1.2,"A",2.76,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 52","orc","otago","lake dunstan at dead mans point"
"orc-00028","Lake Hawea Outflow at Dam","Overall",42,"A","",15,"B","",0.005,"A",0.0244,"A","A","",NA,NA,"",0.98,"A",1.5,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 43","orc","otago","lake hawea outflow at dam"
"orc-00031","Lake Hayes at Bendemeer Bay","Overall",290,"B","",28,"C","",0.006,"A",0.1135,"B","B","",NA,NA,"",4.9,"B",31.4,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake hayes"
"orc-00033","Lake Johnson at South Beach huts","Overall",935,"D","",47,"C","",0.015,"A",0.377,"B","B","",NA,NA,"",12.5,"D",59.2,"C","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake johnson"
"orc-00034","Lake Onslow at Boat Ramp","Overall",240,"B","",21,"C","",0.005,"A",0.015,"A","A","",NA,NA,"",1.6,"A",5.35,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 37","orc","otago","lake onslow"
"orc-00035","Lake Tuakitoto at Outlet","Overall",330,"B","",36.3,"C","",0.00775,"A",0.1292,"B","B","",NA,NA,"",0.0039,"A",20.8,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 54","orc","otago","lake tuakitoto at outlet"
"orc-00036","Lake Waihola at End of jetty","Overall",460,"B","",42,"C","",0.007,"A",0.031825,"A","A","",NA,NA,"",5.2,"C",23.55,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 40","orc","otago","lake waihola"
"orc-00037","Lake Wakatipu at Outflow","Overall",45.5,"A","",2.5,"A","",0.005,"A",0.0114,"A","A","",NA,NA,"",0.98,"A",2.24,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake wakatipu outflow"
"orc-00038","Lake Wanaka at Outlet","Overall",61,"A","",25,"C","",0.005,"A",0.019,"A","A","",NA,NA,"",1.15,"A",2.26,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 43","orc","otago","lake wanaka outflow"
"trc-00051","LRT00H450","Overall",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall 95%ile, have 20",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","trc","taranaki","lake rotorangi l3 (dam)"
"trc-00051","LRT00H450","Overall",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall 95%ile, have 20",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","trc","taranaki","lake rotorangi l3 (dam)"
"trc-00053","LRT00H300","Overall",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall 95%ile, have 20",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","trc","taranaki","lake rotorangi l2 (tangahoe valley rd)"
"trc-00053","LRT00H300","Overall",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall 95%ile, have 20",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","trc","taranaki","lake rotorangi l2 (tangahoe valley rd)"
