"LawaSiteID","CouncilSiteID","Year","Total_Nitrogen","Tot_Nitr_Band","NitrateAnalysisNote","Total_Phosphorus","Tot_Phos_Band","PhosphorusAnalysisNote","AmmoniacalMed","Med_Ammoniacal_Band","Max_Ammoniacal","Max_Ammoniacal_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","Median_Clarity","Med_Clarity_Band","ClarityAnalysisNote","Median_ChlA","Med_ChlA_Band","Max_ChlA","Max_ChlA_Band","ChlASummaryBand","ChlAAnalysisNote","E_coli_Period","E_coli_Median","E_coli_band","E_coli95","E_coli95_band","E_coliRecHealth540","E_coliRecHealth540_Band","E_coliRecHealth260","E_coliRecHealth260_Band","E_coliSummaryband","E_coliAnalysisNote","Agency","Region","SiteID"
"wcrc-00064","L Brunner @ GYB Mid Lake - 0-25m tube","Overall",220.5,"B","",6,"A","",0.005,"A",0.009,"A","A","",6.3,"B","",0.9,"A",5.8,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","wcrc","west coast","l brunner @ gyb mid lake - 0-25m tube"
"lawa-102686","Lake Hayes at Mid Lake 10m","Overall",350,"B","",NA,NA," Need 30 nitrate values for overall median, have 28",0.005,"A",0.121,"B","B","",NA,NA,"",0.0195,"A",24,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 14","orc","otago","lake hayes at mid lake 10m"
"lawa-102687","Lake Wakatipu Open Water 10m","Overall",53,"A","",NA,NA," Need 30 nitrate values for overall median, have 5",0.0025,"A",0.005,"A","A","",NA,NA,"",0.00052,"A",0.4195,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 15","orc","otago","lake wakatipu open water 10m"
"lawa-102688","Lake Wanaka Open Water 10m","Overall",50,"A","",NA,NA," Need 30 nitrate values for overall median, have 5",0.0025,"A",0.005,"A","A","",NA,NA,"",0.000715,"A",0.99,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 16","orc","otago","lake wanaka open water 10m"
"nrc-00075","100438","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake kai iwi at centre"
"nrc-00087","100442","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake taharoa at centre"
"nrc-00090","100448","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake waikare at centre"
"nrc-00095","100501","Overall",440,"B","",33,"C","",0.017,"A",0.0686499999999998,"B","B","",0.9,"D","",3.7,"B",39.5,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake omapere at outlet bridge (utakura river)"
"ew-00145","37270","Overall",1146,"D","",20,"B","",0.093,"B",0.304,"B","B","",1.42,"C","",11,"C",28.55,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake rotomanuka at lake centre (surface)"
"ew-00149","37322","Overall",1310,"D","",24,"C","",0.025,"A",0.17675,"B","B","",1.385,"C","",12,"C",49.3,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake serpentine at north (surface)"
"hbrc-00171","Lake Waikopiro Top","Overall",850,"D","",52,"D","",NA,NA,NA,NA,NA,"n = 0 No NH4 data ",2.2,"C","",NA,NA,NA,NA,NA," Need 30 values for overall median, have 10 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 33","hbrc","hawkes bay","5628"
"lawa-102219","Waiau Lagoon opp boat ramp","Overall",NA,NA," Need 30 nitrate values for overall median, have 27",NA,NA," Need 30 nitrate values for overall median, have 27",NA,NA,NA,NA,NA," Need 30 values for overall median, have 26 Need 30 values for overall 95%ile, have 26",NA,NA," Need 30 values for overall median, have 13",NA,NA,NA,NA,NA," Need 30 values for overall median, have 27 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 27","es","southland","waiau lagoon opp boat ramp"
"lawa-102220","Waiau Lagoon Middle","Overall",495,"C","",21,"C","",0.005,"A",0.0827999999999999,"B","B","",NA,NA," Need 30 values for overall median, have 20",3.2,"B",18.7,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 33","es","southland","waiau lagoon middle"
"lawa-102221","Waiau Lagoon Monitoring Station","Overall",NA,NA," Need 30 nitrate values for overall median, have 27",NA,NA," Need 30 nitrate values for overall median, have 27",NA,NA,NA,NA,NA," Need 30 values for overall median, have 26 Need 30 values for overall 95%ile, have 26",NA,NA," Need 30 values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 27 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 27","es","southland","waiau lagoon monitoring station"
"arc-00099","7605","Overall",NA,NA," Need 30 nitrate values for overall median, have 24",NA,NA," Need 30 nitrate values for overall median, have 24",NA,NA,NA,NA,NA," Need 30 values for overall median, have 24 Need 30 values for overall 95%ile, have 24",NA,NA," Need 30 values for overall median, have 22",NA,NA,NA,NA,NA," Need 30 values for overall median, have 24 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 16","arc","auckland","lake pupuke"
"ew-00143","37164","Overall",2154,"D","",30,"C","",0.34,"C",0.6285,"C","C","",0.41,"D","",4,"B",52.6,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake maratoto at centre (surface)"
"ew-00150","37312","Overall",1004,"D","",31,"C","",0.02,"A",0.1271,"B","B","",0.955,"D","",12,"C",30.55,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 24","wrc","waikato","lake serpentine at south (surface)"
"lawa-100211","Lake Manapouri at Stony Point Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 21 Need 30 values for overall 95%ile, have 21",NA,NA," Need 30 values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","es","southland","lake manapouri at stony point top"
"lawa-100213","Lake Manapouri at Pomona Island Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 21 Need 30 values for overall 95%ile, have 21",NA,NA," Need 30 values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","es","southland","lake manapouri at pomona island top"
"lawa-100263","Lake Te Anau at South Fiord Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 21 Need 30 values for overall 95%ile, have 21",NA,NA," Need 30 values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","es","southland","lake te anau at south fiord top"
"lawa-100264","Lake Manapouri near Frazers Beach Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 21 Need 30 values for overall 95%ile, have 21",NA,NA," Need 30 values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","es","southland","lake manapouri near frazers beach top"
"lawa-100266","Lake Te Anau at Blue Gum Point Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA," Need 30 nitrate values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 21 Need 30 values for overall 95%ile, have 21",NA,NA," Need 30 values for overall median, have 21",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","es","southland","lake te anau at blue gum point top"
"lawa-102303","24200","Overall",1343,"D","",80,"D","",0.02,"A",0.2495,"B","B","",0.95,"D","",40,"D",118.65,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake horseshoe at rotokauri road"
"lawa-102304","37039","Overall",2406,"D","",100,"D","",0.034,"B",0.3455,"B","B","",0.4,"D","",35,"D",66.95,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake areare at centre-surface"
"lawa-102305","37097","Overall",1382,"D","",95,"D","",0.01,"A",0.1714,"B","B","",0.745,"D","",39,"D",79.95,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 25","wrc","waikato","lake mangakaware at lake centre"
"arc-00098","6303","Overall",NA,NA," Need 30 nitrate values for overall median, have 22",NA,NA," Need 30 nitrate values for overall median, have 22",NA,NA,NA,NA,NA," Need 30 values for overall median, have 22 Need 30 values for overall 95%ile, have 22",NA,NA," Need 30 values for overall median, have 22",NA,NA,NA,NA,NA," Need 30 values for overall median, have 22 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 16","arc","auckland","lake tomarata"
"arc-00100","45001","Overall",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA," Need 30 nitrate values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall 95%ile, have 20",NA,NA," Need 30 values for overall median, have 20",NA,NA,NA,NA,NA," Need 30 values for overall median, have 20 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 14","arc","auckland","lake rototoa"
"arc-10002","44616","Overall",NA,NA," Need 30 nitrate values for overall median, have 19",NA,NA," Need 30 nitrate values for overall median, have 19",NA,NA,NA,NA,NA," Need 30 values for overall median, have 19 Need 30 values for overall 95%ile, have 19",NA,NA," Need 30 values for overall median, have 19",NA,NA,NA,NA,NA," Need 30 values for overall median, have 19 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 13","arc","auckland","lake wainamu"
"hbrc-00170","Lake Opouahi Top","Overall",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA,NA,NA,NA,"n = 0 No NH4 data ",NA,NA," Need 30 values for overall median, have 18",NA,NA,NA,NA,NA," Need 30 values for overall median, have 8 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 18","hbrc","hawkes bay","5625"
"nrc-00071","107776","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake carrot at north end"
"nrc-00072","101031","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake heather at centre"
"nrc-00073","101379","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 14",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake humuhumu at east centre"
"nrc-00074","101367","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake kahuparere at centre"
"nrc-00076","101369","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake kanono at north centre"
"nrc-00077","108347","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake karaka at centre"
"nrc-00078","100593","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake mokeno at centre"
"nrc-00079","101908","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake morehurehu at centre"
"nrc-00080","108242","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake ngakapua north at centre"
"nrc-00081","101913","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake ngakapua south at centre"
"nrc-00082","101032","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 1","nrc","northland","lake ngatu at centre"
"nrc-00083","106734","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake rotokawau (aupouri) at center"
"nrc-00084","101373","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake rotokawau (pouto) at centre"
"nrc-00085","100425","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake rotoroa (aupouri) at north end"
"nrc-00086","101375","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake rototuna at centre"
"nrc-00088","101909","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake te kahika at centre"
"nrc-00089","108232","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA," Need 30 values for overall median, have 16",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake waihopo at centre"
"nrc-00091","108346","Overall",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA," Need 30 nitrate values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 15 Need 30 values for overall 95%ile, have 15",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 0","nrc","northland","lake wainui at centre"
