"LAWAID","Parameter","Median"
"hbrc-00002","MCI",106.67
"hbrc-00002","PercentageEPTTaxa",30.2
"hbrc-00002","TaxaRichness",19
"hbrc-00003","MCI",69.5
"hbrc-00003","PercentageEPTTaxa",4.67
"hbrc-00003","TaxaRichness",19
"hbrc-00004","MCI",83.64
"hbrc-00004","PercentageEPTTaxa",27.04
"hbrc-00004","TaxaRichness",22
"hbrc-00005","MCI",92.63
"hbrc-00005","PercentageEPTTaxa",38.41
"hbrc-00005","TaxaRichness",17
"hbrc-00006","MCI",78.82
"hbrc-00006","PercentageEPTTaxa",2.2
"hbrc-00006","TaxaRichness",17
"hbrc-00007","MCI",75.38
"hbrc-00007","PercentageEPTTaxa",28.59
"hbrc-00007","TaxaRichness",16
"hbrc-00008","MCI",117.6
"hbrc-00008","PercentageEPTTaxa",52.24
"hbrc-00008","TaxaRichness",20
"hbrc-00009","MCI",105.45
"hbrc-00009","PercentageEPTTaxa",57.29
"hbrc-00009","TaxaRichness",25
"hbrc-00010","MCI",74.165
"hbrc-00010","PercentageEPTTaxa",0.15
"hbrc-00010","TaxaRichness",18
"hbrc-00011","MCI",78.26
"hbrc-00011","PercentageEPTTaxa",5.1
"hbrc-00011","TaxaRichness",20
"hbrc-00012","MCI",96.88
"hbrc-00012","PercentageEPTTaxa",45.9
"hbrc-00012","TaxaRichness",23
"hbrc-00014","MCI",69.365
"hbrc-00014","PercentageEPTTaxa",0
"hbrc-00014","TaxaRichness",17
"hbrc-00015","MCI",117.39
"hbrc-00015","PercentageEPTTaxa",71.31
"hbrc-00015","TaxaRichness",20
"hbrc-00017","MCI",128.7
"hbrc-00017","PercentageEPTTaxa",76.15
"hbrc-00017","TaxaRichness",25
"hbrc-00018","MCI",70.53
"hbrc-00018","PercentageEPTTaxa",1.7575
"hbrc-00018","TaxaRichness",17
"hbrc-00019","MCI",107.5
"hbrc-00019","PercentageEPTTaxa",66.17
"hbrc-00019","TaxaRichness",18
"hbrc-00020","MCI",98.1
"hbrc-00020","PercentageEPTTaxa",52.8
"hbrc-00020","TaxaRichness",21
"hbrc-00021","MCI",116.36
"hbrc-00021","PercentageEPTTaxa",59.16
"hbrc-00021","TaxaRichness",21
"hbrc-00022","MCI",122.5
"hbrc-00022","PercentageEPTTaxa",75.31
"hbrc-00022","TaxaRichness",19
"hbrc-00023","MCI",106.4
"hbrc-00023","PercentageEPTTaxa",46.97
"hbrc-00023","TaxaRichness",26
"hbrc-00024","MCI",102.86
"hbrc-00024","PercentageEPTTaxa",48.16
"hbrc-00024","TaxaRichness",20
"hbrc-00026","MCI",133.6
"hbrc-00026","PercentageEPTTaxa",76.72
"hbrc-00026","TaxaRichness",25
"hbrc-00028","MCI",128.15
"hbrc-00028","PercentageEPTTaxa",57.2
"hbrc-00028","TaxaRichness",22.5
"hbrc-00029","MCI",103.85
"hbrc-00029","PercentageEPTTaxa",27.66
"hbrc-00029","TaxaRichness",24
"hbrc-00031","MCI",107.845
"hbrc-00031","PercentageEPTTaxa",49.88
"hbrc-00031","TaxaRichness",23
"hbrc-00032","MCI",94.29
"hbrc-00032","PercentageEPTTaxa",44.55
"hbrc-00032","TaxaRichness",22
"hbrc-00036","MCI",78.335
"hbrc-00036","PercentageEPTTaxa",0.095
"hbrc-00036","TaxaRichness",17.5
"hbrc-00038","MCI",100
"hbrc-00038","PercentageEPTTaxa",54.43
"hbrc-00038","TaxaRichness",17
"hbrc-00039","MCI",114.12
"hbrc-00039","PercentageEPTTaxa",73.04
"hbrc-00039","TaxaRichness",17
"hbrc-00040","MCI",100
"hbrc-00040","TaxaRichness",15
"hbrc-00041","MCI",87
"hbrc-00041","PercentageEPTTaxa",29.73
"hbrc-00041","TaxaRichness",20
"hbrc-00042","MCI",88
"hbrc-00042","PercentageEPTTaxa",56.31
"hbrc-00042","TaxaRichness",25
"hbrc-00043","MCI",82.67
"hbrc-00043","PercentageEPTTaxa",26.2
"hbrc-00043","TaxaRichness",18
"hbrc-00044","MCI",77.5
"hbrc-00044","PercentageEPTTaxa",0.71
"hbrc-00044","TaxaRichness",17
"hbrc-00046","MCI",93.6
"hbrc-00046","PercentageEPTTaxa",39.1
"hbrc-00046","TaxaRichness",23
"hbrc-00048","MCI",120
"hbrc-00048","PercentageEPTTaxa",69.92
"hbrc-00048","TaxaRichness",23
"hbrc-00053","MCI",80
"hbrc-00053","PercentageEPTTaxa",1.6
"hbrc-00053","TaxaRichness",12
"hbrc-00055","MCI",105.05
"hbrc-00055","PercentageEPTTaxa",54.14
"hbrc-00055","TaxaRichness",19
"hbrc-00056","MCI",92.94
"hbrc-00056","PercentageEPTTaxa",46.09
"hbrc-00056","TaxaRichness",21
"hbrc-00059","MCI",95.96
"hbrc-00059","PercentageEPTTaxa",29.0975
"hbrc-00059","TaxaRichness",21
"hbrc-00061","MCI",110.59
"hbrc-00061","PercentageEPTTaxa",56.6
"hbrc-00061","TaxaRichness",15
"hbrc-00062","MCI",132
"hbrc-00062","PercentageEPTTaxa",82.65
"hbrc-00062","TaxaRichness",25
"hbrc-00063","MCI",67.69
"hbrc-00063","PercentageEPTTaxa",2.1
"hbrc-00063","TaxaRichness",13
"hbrc-00067","MCI",68.21
"hbrc-00067","PercentageEPTTaxa",0.03
"hbrc-00067","TaxaRichness",13.5
"hbrc-00069","MCI",100
"hbrc-00069","PercentageEPTTaxa",27.65
"hbrc-00069","TaxaRichness",27
"hbrc-00070","MCI",116.15
"hbrc-00070","PercentageEPTTaxa",63.52
"hbrc-00070","TaxaRichness",29
"hbrc-00071","MCI",122.85
"hbrc-00071","PercentageEPTTaxa",56.89
"hbrc-00071","TaxaRichness",22
"hbrc-00072","MCI",116.92
"hbrc-00072","PercentageEPTTaxa",75.93
"hbrc-00072","TaxaRichness",24
"hbrc-00073","MCI",115.95
"hbrc-00073","PercentageEPTTaxa",40.95
"hbrc-00073","TaxaRichness",28
"hbrc-00075","MCI",90.905
"hbrc-00075","PercentageEPTTaxa",20.995
"hbrc-00075","TaxaRichness",22
"hbrc-00077","MCI",102.86
"hbrc-00077","PercentageEPTTaxa",33.96
"hbrc-00077","TaxaRichness",17
"hbrc-00079","MCI",120
"hbrc-00079","PercentageEPTTaxa",41.43
"hbrc-00079","TaxaRichness",18
"hbrc-00081","MCI",110.4
"hbrc-00081","PercentageEPTTaxa",66.93
"hbrc-00081","TaxaRichness",20
"hbrc-00083","MCI",90
"hbrc-00083","PercentageEPTTaxa",39.72
"hbrc-00083","TaxaRichness",18
"hbrc-00085","MCI",70.24
"hbrc-00085","TaxaRichness",16.5
"hbrc-00087","MCI",96
"hbrc-00087","PercentageEPTTaxa",67.3
"hbrc-00087","TaxaRichness",17
"hbrc-00088","MCI",101.25
"hbrc-00088","PercentageEPTTaxa",51.37
"hbrc-00088","TaxaRichness",16
"hbrc-00090","MCI",68
"hbrc-00090","PercentageEPTTaxa",0
"hbrc-00090","TaxaRichness",16
"hbrc-00124","MCI",74.55
"hbrc-00124","PercentageEPTTaxa",0.2
"hbrc-00124","TaxaRichness",14
"hbrc-00139","MCI",110
"hbrc-00139","PercentageEPTTaxa",65.8
"hbrc-00139","TaxaRichness",16
"hrc-00001","MCI",66.264705
"hrc-00001","PercentageEPTTaxa",0
"hrc-00001","TaxaRichness",16
"hrc-00002","MCI",77.5
"hrc-00002","PercentageEPTTaxa",18.425
"hrc-00002","TaxaRichness",22
"hrc-00003","MCI",97.08621
"hrc-00003","PercentageEPTTaxa",47.927424
"hrc-00003","TaxaRichness",30.5
"hrc-00004","MCI",68
"hrc-00004","PercentageEPTTaxa",0
"hrc-00004","TaxaRichness",17
"hrc-00005","MCI",117
"hrc-00005","PercentageEPTTaxa",60.87
"hrc-00005","TaxaRichness",25
"hrc-00006","MCI",114.575756
"hrc-00006","PercentageEPTTaxa",49.32611
"hrc-00006","TaxaRichness",30.5
"hrc-00007","MCI",82
"hrc-00007","PercentageEPTTaxa",24.105
"hrc-00007","TaxaRichness",20.5
"hrc-00008","MCI",92.5
"hrc-00008","PercentageEPTTaxa",39.355
"hrc-00008","TaxaRichness",28
"hrc-00009","MCI",120.6875
"hrc-00009","PercentageEPTTaxa",58.29973
"hrc-00009","TaxaRichness",36
"hrc-00010","MCI",102.5
"hrc-00010","PercentageEPTTaxa",49.895
"hrc-00010","TaxaRichness",22.5
"hrc-00011","MCI",95.891304
"hrc-00011","PercentageEPTTaxa",35.786666
"hrc-00011","TaxaRichness",22
"hrc-00013","MCI",95
"hrc-00013","PercentageEPTTaxa",32.29
"hrc-00013","TaxaRichness",15.5
"hrc-00015","MCI",103
"hrc-00015","PercentageEPTTaxa",50
"hrc-00015","TaxaRichness",20
"hrc-00016","MCI",94
"hrc-00016","PercentageEPTTaxa",36.54
"hrc-00016","TaxaRichness",22.5
"hrc-00017","MCI",97.5
"hrc-00017","PercentageEPTTaxa",41.175
"hrc-00017","TaxaRichness",19.5
"hrc-00018","MCI",113
"hrc-00018","PercentageEPTTaxa",45.45
"hrc-00018","TaxaRichness",33
"hrc-00019","MCI",103
"hrc-00019","PercentageEPTTaxa",44
"hrc-00019","TaxaRichness",19
"hrc-00020","MCI",104.714287
"hrc-00020","PercentageEPTTaxa",47.272728
"hrc-00020","TaxaRichness",29.5
"hrc-00021","MCI",133
"hrc-00021","PercentageEPTTaxa",70.330385
"hrc-00021","TaxaRichness",26
"hrc-00022","MCI",121.47619
"hrc-00022","PercentageEPTTaxa",59.51087
"hrc-00022","TaxaRichness",23
"hrc-00023","MCI",100.666668
"hrc-00023","PercentageEPTTaxa",48.685
"hrc-00023","TaxaRichness",23.5
"hrc-00024","MCI",100
"hrc-00024","PercentageEPTTaxa",41.695
"hrc-00024","TaxaRichness",26
"hrc-00025","MCI",96
"hrc-00025","PercentageEPTTaxa",41.94
"hrc-00025","TaxaRichness",29
"hrc-00026","MCI",114.5
"hrc-00026","PercentageEPTTaxa",60.1514285
"hrc-00026","TaxaRichness",19
"hrc-00027","MCI",97.5
"hrc-00027","PercentageEPTTaxa",37.3076915
"hrc-00027","TaxaRichness",25.5
"hrc-00028","MCI",110.86207
"hrc-00028","PercentageEPTTaxa",60.28
"hrc-00028","TaxaRichness",29
"hrc-00029","MCI",128.166664
"hrc-00029","PercentageEPTTaxa",65.79
"hrc-00029","TaxaRichness",34.5
"hrc-00030","MCI",132.214285
"hrc-00030","PercentageEPTTaxa",62.02
"hrc-00030","TaxaRichness",28
"hrc-00031","MCI",108.45238
"hrc-00031","PercentageEPTTaxa",38.885
"hrc-00031","TaxaRichness",30.5
"hrc-00033","MCI",109
"hrc-00033","PercentageEPTTaxa",56.25
"hrc-00033","TaxaRichness",30.5
"hrc-00034","MCI",95.083332
"hrc-00034","PercentageEPTTaxa",40
"hrc-00034","TaxaRichness",24
"hrc-00035","MCI",108.2380945
"hrc-00035","PercentageEPTTaxa",53.57
"hrc-00035","TaxaRichness",20.5
"hrc-00036","MCI",127.5
"hrc-00036","PercentageEPTTaxa",63.545454
"hrc-00036","TaxaRichness",23.5
"hrc-00037","MCI",112
"hrc-00037","PercentageEPTTaxa",49.59
"hrc-00037","TaxaRichness",31
"hrc-00038","MCI",83.9230765
"hrc-00038","PercentageEPTTaxa",29.285
"hrc-00038","TaxaRichness",24
"hrc-00039","MCI",80.916668
"hrc-00039","PercentageEPTTaxa",20.715
"hrc-00039","TaxaRichness",18
"hrc-00040","MCI",112
"hrc-00040","PercentageEPTTaxa",50
"hrc-00040","TaxaRichness",25
"hrc-00041","MCI",135
"hrc-00041","PercentageEPTTaxa",66.67
"hrc-00041","TaxaRichness",21
"hrc-00042","MCI",90
"hrc-00042","PercentageEPTTaxa",31.665
"hrc-00042","TaxaRichness",30
"hrc-00043","MCI",94.3571435
"hrc-00043","PercentageEPTTaxa",40.68
"hrc-00043","TaxaRichness",18
"hrc-00044","MCI",102.5
"hrc-00044","PercentageEPTTaxa",46.03
"hrc-00044","TaxaRichness",18.5
"hrc-00045","MCI",102.5
"hrc-00045","PercentageEPTTaxa",47.725
"hrc-00045","TaxaRichness",23
"hrc-00046","MCI",113
"hrc-00046","PercentageEPTTaxa",55.84587
"hrc-00046","TaxaRichness",25
"hrc-00047","MCI",116
"hrc-00047","PercentageEPTTaxa",58.335
"hrc-00047","TaxaRichness",27
"hrc-00048","MCI",113
"hrc-00048","PercentageEPTTaxa",52.50579
"hrc-00048","TaxaRichness",27
"hrc-00049","MCI",129.333336
"hrc-00049","PercentageEPTTaxa",61.448182
"hrc-00049","TaxaRichness",26.5
"hrc-00050","MCI",106
"hrc-00050","PercentageEPTTaxa",50
"hrc-00050","TaxaRichness",28
"hrc-00054","MCI",112.416668
"hrc-00054","PercentageEPTTaxa",53.68423
"hrc-00054","TaxaRichness",28
"hrc-00055","MCI",85.5
"hrc-00055","PercentageEPTTaxa",35.645
"hrc-00055","TaxaRichness",23.5
"hrc-00056","MCI",131
"hrc-00056","PercentageEPTTaxa",65.3514815
"hrc-00056","TaxaRichness",29
"hrc-00057","MCI",101.705883
"hrc-00057","PercentageEPTTaxa",41.25
"hrc-00057","TaxaRichness",35
"hrc-00060","MCI",97.75
"hrc-00060","PercentageEPTTaxa",40.385
"hrc-00060","TaxaRichness",23.5
"hrc-00061","MCI",102.5
"hrc-00061","PercentageEPTTaxa",47.315
"hrc-00061","TaxaRichness",26.5
"hrc-00062","MCI",110
"hrc-00062","PercentageEPTTaxa",54.085
"hrc-00062","TaxaRichness",30.5
"hrc-00063","MCI",106
"hrc-00063","PercentageEPTTaxa",57.44
"hrc-00063","TaxaRichness",27.5
"hrc-00064","MCI",121.027027
"hrc-00064","PercentageEPTTaxa",58.92
"hrc-00064","TaxaRichness",33
"hrc-00066","MCI",82
"hrc-00066","PercentageEPTTaxa",17.065
"hrc-00066","TaxaRichness",23
"hrc-00075","MCI",114
"hrc-00075","PercentageEPTTaxa",58.06
"hrc-00075","TaxaRichness",27.5
"hrc-00076","MCI",110.7894745
"hrc-00076","PercentageEPTTaxa",53.465
"hrc-00076","TaxaRichness",20.5
"hrc-00079","MCI",100.5
"hrc-00079","PercentageEPTTaxa",40.065
"hrc-00079","TaxaRichness",22.5
"hrc-00080","MCI",85
"hrc-00080","PercentageEPTTaxa",47.915
"hrc-00080","TaxaRichness",21
"hrc-00083","MCI",102.5
"hrc-00083","PercentageEPTTaxa",40.16
"hrc-00083","TaxaRichness",21
"hrc-00343","MCI",101.7241365
"hrc-00343","PercentageEPTTaxa",49.335
"hrc-00343","TaxaRichness",27.5
"hrc-00344","MCI",91.045456
"hrc-00344","PercentageEPTTaxa",43.875
"hrc-00344","TaxaRichness",20.5
"hrc-00345","MCI",108.090908
"hrc-00345","PercentageEPTTaxa",50.191666
"hrc-00345","TaxaRichness",23
"hrc-00346","MCI",94.5
"hrc-00346","PercentageEPTTaxa",36.129032
"hrc-00346","TaxaRichness",26
"hrc-00347","MCI",86.5
"hrc-00347","PercentageEPTTaxa",39.31
"hrc-00347","TaxaRichness",34
"hrc-00348","MCI",139
"hrc-00348","PercentageEPTTaxa",68.5727575
"hrc-00348","TaxaRichness",27.5
"hrc-00349","MCI",104.03448
"hrc-00349","PercentageEPTTaxa",44.975
"hrc-00349","TaxaRichness",31
"hrc-00350","MCI",114
"hrc-00350","PercentageEPTTaxa",58.535
"hrc-00350","TaxaRichness",25
"hrc-00351","MCI",115
"hrc-00351","PercentageEPTTaxa",54.095
"hrc-00351","TaxaRichness",21
"hrc-00352","MCI",115.07143
"hrc-00352","PercentageEPTTaxa",54.297728
"hrc-00352","TaxaRichness",32.5
"hrc-00353","MCI",101.5
"hrc-00353","PercentageEPTTaxa",46.9
"hrc-00353","TaxaRichness",27.5
"lawa-100168","MCI",122.5
"lawa-100168","PercentageEPTTaxa",56
"lawa-100168","TaxaRichness",21.5
"lawa-100169","MCI",113
"lawa-100169","PercentageEPTTaxa",54
"lawa-100169","TaxaRichness",24
"lawa-100170","MCI",93
"lawa-100170","PercentageEPTTaxa",46
"lawa-100170","TaxaRichness",24
"lawa-100171","MCI",103
"lawa-100171","PercentageEPTTaxa",50
"lawa-100171","TaxaRichness",28
"lawa-100172","MCI",105
"lawa-100172","PercentageEPTTaxa",47
"lawa-100172","TaxaRichness",24
"lawa-100173","MCI",110
"lawa-100173","PercentageEPTTaxa",54.16
"lawa-100173","TaxaRichness",23
"lawa-100174","MCI",98
"lawa-100174","PercentageEPTTaxa",40
"lawa-100174","TaxaRichness",30
"lawa-100176","MCI",92
"lawa-100176","PercentageEPTTaxa",53
"lawa-100176","TaxaRichness",17
"lawa-100177","MCI",104
"lawa-100177","PercentageEPTTaxa",50
"lawa-100177","TaxaRichness",24
"lawa-100178","MCI",120
"lawa-100178","PercentageEPTTaxa",57
"lawa-100178","TaxaRichness",15
"lawa-100179","MCI",114
"lawa-100179","PercentageEPTTaxa",50
"lawa-100179","TaxaRichness",18
"lawa-100181","MCI",120
"lawa-100181","PercentageEPTTaxa",50
"lawa-100181","TaxaRichness",16
"lawa-100184","MCI",107.5
"lawa-100184","PercentageEPTTaxa",51
"lawa-100184","TaxaRichness",29.5
"lawa-100185","MCI",117
"lawa-100185","PercentageEPTTaxa",52
"lawa-100185","TaxaRichness",28
"lawa-100186","MCI",106
"lawa-100186","PercentageEPTTaxa",53
"lawa-100186","TaxaRichness",17
"lawa-100187","MCI",114
"lawa-100187","PercentageEPTTaxa",54
"lawa-100187","TaxaRichness",28
"lawa-100190","MCI",89
"lawa-100190","PercentageEPTTaxa",38
"lawa-100190","TaxaRichness",21
"lawa-100191","MCI",118
"lawa-100191","PercentageEPTTaxa",60
"lawa-100191","TaxaRichness",25
"lawa-100192","MCI",124
"lawa-100192","PercentageEPTTaxa",60
"lawa-100192","TaxaRichness",34
"lawa-100193","MCI",113
"lawa-100193","PercentageEPTTaxa",52
"lawa-100193","TaxaRichness",27
"lawa-100194","MCI",114.5
"lawa-100194","PercentageEPTTaxa",52
"lawa-100194","TaxaRichness",24.5
"lawa-100195","MCI",109
"lawa-100195","PercentageEPTTaxa",50
"lawa-100195","TaxaRichness",22
"lawa-100196","MCI",121.5
"lawa-100196","PercentageEPTTaxa",48
"lawa-100196","TaxaRichness",29.5
"lawa-100199","MCI",84
"lawa-100199","PercentageEPTTaxa",37
"lawa-100199","TaxaRichness",23
"lawa-100200","MCI",101
"lawa-100200","PercentageEPTTaxa",44
"lawa-100200","TaxaRichness",16
"lawa-100201","MCI",81
"lawa-100201","PercentageEPTTaxa",35
"lawa-100201","TaxaRichness",20
"lawa-100202","MCI",87
"lawa-100202","PercentageEPTTaxa",31
"lawa-100202","TaxaRichness",22
"lawa-100268","MCI",124.1
"lawa-100268","PercentageEPTTaxa",54.55
"lawa-100268","TaxaRichness",31.5
"lawa-100269","MCI",118.57
"lawa-100269","PercentageEPTTaxa",53.57
"lawa-100269","TaxaRichness",29
"lawa-100270","MCI",139.275
"lawa-100270","PercentageEPTTaxa",64.5
"lawa-100270","TaxaRichness",27.5
"lawa-100271","MCI",120
"lawa-100271","PercentageEPTTaxa",58.8
"lawa-100271","TaxaRichness",22
"lawa-100272","MCI",87
"lawa-100272","PercentageEPTTaxa",15.05
"lawa-100272","TaxaRichness",20
"lawa-100273","MCI",132.05
"lawa-100273","PercentageEPTTaxa",59.2
"lawa-100273","TaxaRichness",29.25
"lawa-100274","MCI",90.83
"lawa-100274","PercentageEPTTaxa",29.2
"lawa-100274","TaxaRichness",24
"lawa-100275","MCI",120.8
"lawa-100275","PercentageEPTTaxa",52
"lawa-100275","TaxaRichness",25
"lawa-100276","MCI",131.85
"lawa-100276","PercentageEPTTaxa",65.15
"lawa-100276","TaxaRichness",23
"lawa-100277","MCI",110.5
"lawa-100277","PercentageEPTTaxa",50
"lawa-100277","TaxaRichness",29
"lawa-100278","MCI",120
"lawa-100278","PercentageEPTTaxa",56
"lawa-100278","TaxaRichness",29
"lawa-100279","MCI",136.3
"lawa-100279","PercentageEPTTaxa",58.55
"lawa-100279","TaxaRichness",30
"lawa-100280","MCI",77.85
"lawa-100280","PercentageEPTTaxa",15.1
"lawa-100280","TaxaRichness",17.5
"lawa-100281","MCI",102.8
"lawa-100281","PercentageEPTTaxa",43
"lawa-100281","TaxaRichness",17.5
"lawa-100282","MCI",115.5
"lawa-100282","PercentageEPTTaxa",54.2
"lawa-100282","TaxaRichness",24
"lawa-100283","MCI",86
"lawa-100283","PercentageEPTTaxa",35
"lawa-100283","TaxaRichness",21
"lawa-100284","MCI",134.95
"lawa-100284","PercentageEPTTaxa",60.35
"lawa-100284","TaxaRichness",29.5
"lawa-100285","MCI",86.7
"lawa-100285","PercentageEPTTaxa",30.8
"lawa-100285","TaxaRichness",26
"lawa-100286","MCI",132.15
"lawa-100286","PercentageEPTTaxa",54.75
"lawa-100286","TaxaRichness",35
"lawa-100287","MCI",134.8
"lawa-100287","PercentageEPTTaxa",57.05
"lawa-100287","TaxaRichness",27
"lawa-100288","MCI",135
"lawa-100288","PercentageEPTTaxa",56.7
"lawa-100288","TaxaRichness",30
"lawa-100289","MCI",114.1
